,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other,ID,time
Surrey Heath,0.64,0.21,0.11,0.0,0.0,0.04,0.0,0.0,E14000983,2017-06-09 02:44:24
West Suffolk,0.61,0.28,0.04,0.0,0.0,0.02,0.05,0.0,E14001034,2017-06-09 02:45:34
Dwyfor Meirionnydd,0.29,0.21,0.03,0.0,0.45,0.0,0.02,0.0,W07000061,2017-06-09 02:45:44
Wokingham,0.57,0.25,0.16,0.0,0.0,0.02,0.0,0.0,E14001048,2017-06-09 02:46:04
Somerton and Frome,0.57,0.17,0.21,0.0,0.0,0.03,0.0,0.02,E14000932,2017-06-09 02:46:34
Wealden,0.61,0.22,0.1,0.0,0.0,0.03,0.03,0.0,E14001023,2017-06-09 02:46:44
Nottingham North,0.31,0.6,0.02,0.0,0.0,0.01,0.06,0.0,E14000866,2017-06-09 02:46:54
Grantham and Stamford,0.62,0.26,0.06,0.0,0.0,0.01,0.03,0.02,E14000714,2017-06-09 02:47:04
Glasgow East,0.19,0.39,0.02,0.39,0.0,0.0,0.01,0.01,S14000030,2017-06-09 02:47:14
Gower,0.43,0.5,0.02,0.0,0.04,0.0,0.01,0.0,W07000046,2017-06-09 02:47:24
Hyndburn,0.4,0.53,0.02,0.0,0.0,0.0,0.04,0.0,E14000758,2017-06-09 02:47:54
Worsley and Eccles South,0.39,0.57,0.02,0.0,0.0,0.02,0.0,0.0,E14001054,2017-06-09 02:48:04
Newbury,0.62,0.14,0.21,0.0,0.0,0.02,0.0,0.0,E14000830,2017-06-09 02:48:14
Romford,0.59,0.32,0.02,0.0,0.0,0.02,0.05,0.0,E14000900,2017-06-09 02:48:24
Uxbridge and South Ruislip,0.51,0.4,0.04,0.0,0.0,0.02,0.03,0.0,E14001007,2017-06-09 02:48:34
New Forest East,0.63,0.2,0.15,0.0,0.0,0.02,0.0,0.0,E14000827,2017-06-09 02:49:15
"Sheffield, Hallam",0.24,0.38,0.35,0.0,0.0,0.01,0.02,0.0,E14000922,2017-06-09 02:49:25
"Birmingham, Northfield",0.43,0.53,0.02,0.0,0.0,0.02,0.0,0.0,E14000565,2017-06-09 02:49:34
Guildford,0.55,0.19,0.24,0.0,0.0,0.02,0.0,0.0,E14000719,2017-06-09 02:49:54
Mid Norfolk,0.59,0.3,0.05,0.0,0.0,0.02,0.04,0.0,E14000816,2017-06-09 02:50:04
St Albans,0.43,0.23,0.32,0.0,0.0,0.02,0.0,0.0,E14000960,2017-06-09 02:50:34
"Birmingham, Edgbaston",0.4,0.55,0.04,0.0,0.0,0.01,0.0,0.0,E14000560,2017-06-09 02:51:14
"Birmingham, Yardley",0.2,0.57,0.18,0.0,0.0,0.01,0.04,0.0,E14000568,2017-06-09 02:51:24
South Holland and The Deepings,0.7,0.2,0.03,0.0,0.0,0.02,0.04,0.01,E14000939,2017-06-09 02:51:34
Don Valley,0.42,0.53,0.02,0.0,0.0,0.0,0.0,0.03,E14000667,2017-06-09 02:51:44
Watford,0.46,0.42,0.09,0.0,0.0,0.01,0.02,0.0,E14001021,2017-06-09 02:51:54
Coventry North West,0.37,0.54,0.03,0.0,0.0,0.01,0.03,0.02,E14000650,2017-06-09 02:52:34
Blackley and Broughton,0.22,0.7,0.02,0.0,0.0,0.01,0.04,0.0,E14000571,2017-06-09 02:52:44
Scarborough and Whitby,0.48,0.42,0.03,0.0,0.0,0.02,0.03,0.02,E14000913,2017-06-09 02:52:55
Chingford and Woodford Green,0.49,0.44,0.04,0.0,0.0,0.03,0.0,0.0,E14000634,2017-06-09 02:53:04
Colchester,0.46,0.35,0.17,0.0,0.0,0.02,0.0,0.0,E14000644,2017-06-09 02:53:15
Stroud,0.46,0.47,0.03,0.0,0.0,0.02,0.02,0.0,E14000980,2017-06-09 02:53:24
Walsall North,0.5,0.43,0.02,0.0,0.0,0.0,0.06,0.0,E14001011,2017-06-09 02:53:34
Doncaster North,0.28,0.61,0.02,0.0,0.0,0.0,0.06,0.03,E14000669,2017-06-09 02:53:44
Epsom and Ewell,0.6,0.25,0.12,0.0,0.0,0.03,0.0,0.0,E14000694,2017-06-09 02:54:04
Glasgow Central,0.14,0.38,0.03,0.45,0.0,0.0,0.0,0.0,S14000029,2017-06-09 02:54:14
Clwyd West,0.48,0.4,0.03,0.0,0.1,0.0,0.0,0.0,W07000059,2017-06-09 02:54:24
Twickenham,0.38,0.09,0.53,0.0,0.0,0.0,0.0,0.0,E14001005,2017-06-09 02:54:35
Meriden,0.62,0.27,0.05,0.0,0.0,0.03,0.04,0.0,E14000812,2017-06-09 02:55:15
Bristol North West,0.42,0.51,0.05,0.0,0.0,0.02,0.0,0.0,E14000600,2017-06-09 02:55:25
Kenilworth and Southam,0.61,0.26,0.1,0.0,0.0,0.02,0.02,0.0,E14000767,2017-06-09 02:55:35
Kingston upon Hull West and Hessle,0.3,0.53,0.06,0.0,0.0,0.01,0.04,0.06,E14000773,2017-06-09 02:55:45
North West Durham,0.34,0.53,0.07,0.0,0.0,0.01,0.04,0.0,E14000856,2017-06-09 02:55:55
Bristol West,0.14,0.66,0.07,0.0,0.0,0.13,0.0,0.0,E14000602,2017-06-09 02:56:25
Ashford,0.59,0.3,0.05,0.0,0.0,0.02,0.04,0.0,E14000536,2017-06-09 02:56:45
"Birmingham, Erdington",0.38,0.58,0.02,0.0,0.0,0.02,0.0,0.0,E14000561,2017-06-09 02:56:55
The Wrekin,0.55,0.36,0.03,0.0,0.0,0.02,0.03,0.01,E14000992,2017-06-09 02:57:15
Nottingham East,0.22,0.72,0.03,0.0,0.0,0.02,0.02,0.0,E14000865,2017-06-09 02:58:05
Salford and Eccles,0.25,0.66,0.03,0.0,0.0,0.02,0.05,0.0,E14000911,2017-06-09 02:58:16
Salisbury,0.58,0.26,0.11,0.0,0.0,0.02,0.02,0.01,E14000912,2017-06-09 02:58:26
Glasgow North East,0.13,0.43,0.02,0.42,0.0,0.0,0.0,0.0,S14000032,2017-06-09 02:58:35
Cleethorpes,0.57,0.35,0.02,0.0,0.0,0.01,0.04,0.0,E14000643,2017-06-09 02:58:45
Norwich North,0.48,0.47,0.03,0.0,0.0,0.02,0.0,0.01,E14000863,2017-06-09 02:59:35
Ribble Valley,0.58,0.34,0.06,0.0,0.0,0.02,0.0,0.0,E14000894,2017-06-09 02:59:55
Wythenshawe and Sale East,0.3,0.62,0.03,0.0,0.0,0.01,0.03,0.0,E14001059,2017-06-09 03:00:05
Chesham and Amersham,0.61,0.21,0.13,0.0,0.0,0.03,0.03,0.0,E14000631,2017-06-09 03:00:35
